date,dow,dowc,wkd,month,ssn,bkng,avail,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,hol,ishol,hol3,hol5,hol7,holwknd
2015-02-28,Saturday,7,1,2,1,84,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-01,Sunday,1,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-02,Monday,2,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,Tuesday,3,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-04,Wednesday,4,0,3,2,12,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-05,Thursday,5,0,3,2,14,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-06,Friday,6,1,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03-07,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-08,Sunday,1,0,3,2,26,64,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-09,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-10,Tuesday,3,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-11,Wednesday,4,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-12,Thursday,5,0,3,2,8,82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-13,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03-14,Saturday,7,1,3,2,66,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-15,Sunday,1,0,3,2,17,73,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-16,Monday,2,0,3,2,13,77,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-17,Tuesday,3,0,3,2,11,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-18,Wednesday,4,0,3,2,19,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-19,Thursday,5,0,3,2,16,74,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-20,Friday,6,1,3,2,40,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03-21,Saturday,7,1,3,2,76,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-22,Sunday,1,0,3,2,30,60,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-23,Monday,2,0,3,2,18,72,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-03-24,Tuesday,3,0,3,2,23,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-03-25,Wednesday,4,0,3,2,26,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-03-26,Thursday,5,0,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-03-27,Friday,6,1,3,2,78,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-03-28,Saturday,7,1,3,2,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-03-29,Sunday,1,0,3,2,29,61,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-30,Monday,2,0,3,2,33,57,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-03-31,Tuesday,3,0,3,2,28,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-04-01,Wednesday,4,0,4,2,29,61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2015-04-02,Thursday,5,0,4,2,45,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2015-04-03,Friday,6,1,4,2,63,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-04-04,Saturday,7,1,4,2,75,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-04-05,Sunday,1,0,4,2,23,67,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2015-04-06,Monday,2,0,4,2,41,49,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,spr,1,1,1,1,0
2015-04-07,Tuesday,3,0,4,2,50,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,spr,1,1,1,1,0
2015-04-08,Wednesday,4,0,4,2,40,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,spr,1,1,1,1,0
2015-04-09,Thursday,5,0,4,2,57,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,spr,1,1,1,1,0
2015-04-10,Friday,6,1,4,2,84,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,spr,1,1,1,1,1
2015-04-11,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-04-12,Sunday,1,0,4,2,24,66,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2015-04-13,Monday,2,0,4,2,30,60,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
2015-04-14,Tuesday,3,0,4,2,32,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2015-04-15,Wednesday,4,0,4,2,40,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2015-04-16,Thursday,5,0,4,2,51,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2015-04-17,Friday,6,1,4,2,86,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015-04-18,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-04-19,Sunday,1,0,4,2,42,48,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-20,Monday,2,0,4,2,24,66,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-21,Tuesday,3,0,4,2,27,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-04-22,Wednesday,4,0,4,2,23,67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-23,Thursday,5,0,4,2,34,56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-04-24,Friday,6,1,4,2,58,32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-04-25,Saturday,7,1,4,2,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-04-26,Sunday,1,0,4,2,46,44,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-27,Monday,2,0,4,2,35,55,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-04-28,Tuesday,3,0,4,2,21,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-04-29,Wednesday,4,0,4,2,17,73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-04-30,Thursday,5,0,4,2,26,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-05-01,Friday,6,1,5,2,73,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2015-05-02,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015-05-03,Sunday,1,0,5,2,35,55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
2015-05-04,Monday,2,0,5,2,65,25,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2015-05-05,Tuesday,3,0,5,2,63,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-05-06,Wednesday,4,0,5,2,67,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-05-07,Thursday,5,0,5,2,59,31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-05-08,Friday,6,1,5,2,88,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,mai,1,1,1,1,1
2015-05-09,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,mai,1,1,1,1,1
2015-05-10,Sunday,1,0,5,2,51,39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,mom,1,1,1,1,1
2015-05-11,Monday,2,0,5,2,35,55,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
2015-05-12,Tuesday,3,0,5,2,32,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-05-13,Wednesday,4,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-05-14,Thursday,5,0,5,2,67,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2015-05-15,Friday,6,1,5,2,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2015-05-16,Saturday,7,1,5,2,89,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015-05-17,Sunday,1,0,5,2,48,42,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-05-18,Monday,2,0,5,2,32,58,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-05-19,Tuesday,3,0,5,2,46,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2015-05-20,Wednesday,4,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2015-05-21,Thursday,5,0,5,2,49,41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2015-05-22,Friday,6,1,5,2,76,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-05-23,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-05-24,Sunday,1,0,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
2015-05-25,Monday,2,0,5,2,39,51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mem,1,1,1,1,0
2015-05-26,Tuesday,3,0,5,2,46,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-05-27,Wednesday,4,0,5,2,44,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-05-28,Thursday,5,0,5,2,47,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-05-29,Friday,6,1,5,2,66,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2015-05-30,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
2015-05-31,Sunday,1,0,5,2,42,48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-01,Monday,2,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-06-02,Tuesday,3,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-03,Wednesday,4,0,6,3,47,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-06-04,Thursday,5,0,6,3,55,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-06-05,Friday,6,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-06-06,Saturday,7,1,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-06-07,Sunday,1,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-08,Monday,2,0,6,3,46,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,Tuesday,3,0,6,3,44,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015-06-10,Wednesday,4,0,6,3,47,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-06-11,Thursday,5,0,6,3,71,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-06-12,Friday,6,1,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015-06-13,Saturday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015-06-14,Sunday,1,0,6,3,65,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-15,Monday,2,0,6,3,73,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2015-06-16,Tuesday,3,0,6,3,79,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2015-06-17,Wednesday,4,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2015-06-18,Thursday,5,0,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-06-19,Friday,6,1,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-06-20,Saturday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
2015-06-21,Sunday,1,0,6,3,78,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,dad,1,1,1,1,1
2015-06-22,Monday,2,0,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
2015-06-23,Tuesday,3,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
2015-06-24,Wednesday,4,0,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-06-25,Thursday,5,0,6,3,87,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
2015-06-26,Friday,6,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
2015-06-27,Saturday,7,1,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2015-06-28,Sunday,1,0,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-29,Monday,2,0,6,3,63,27,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2015-06-30,Tuesday,3,0,6,3,46,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
2015-07-01,Wednesday,4,0,7,3,53,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
2015-07-02,Thursday,5,0,7,3,73,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
2015-07-03,Friday,6,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
2015-07-04,Saturday,7,1,7,3,84,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,ind,1,1,1,1,1
2015-07-05,Sunday,1,0,7,3,56,34,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
