date,dow,dowc,wkd,mon,ssn,bkng,avail,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sun,mon,tue,wed,thu,fri,sat,hol,ishol,hol3,hol5,hol7,holwknd,vis,vis30,vis45,vis60,vis714,seo,seo30,seo45,seo60,seo714,hit,hit30,hit45,hit60,hit714,pv,pv30,pv45,pv60,pv714,clk,clk30,clk45,clk60,clk714,imp,imp30,imp45,imp60,imp714,cvr,cvr30,cvr45,cvr60,cvr714,pact,ssnidx,pactadj,tmin,tmax,prcp,lwsnw,lwsnwdp,hisnwdp,ratedbfp,ratefam,rategf,ratemv,ratepbfp,ratesbfp,ratesmfp,ratesmp,ratesmv,ratets,ratetshi,ratevv,ratevfp,ratewghtavg,ratedbfpadj,ratefamadj,rategfadj,ratemvadj,ratepbfpadj,ratesbfpadj,ratesmfpadj,ratesmpadj,ratesmvadj,ratetsadj,ratetshiadj,ratevvadj,ratevfpadj,ratewghtavgadj
2015-01-11,Sunday,1,0,1,1,16,74,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,324,486,677,60,250,6709,10604,14682,1486,0,4,19,20,21,164.1144593,0.722652888,227.099984,29,33.8,0.02125,0.08,6.1,35.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $296.13 , $225.56 , $196.50 , $196.50 , $325.19 , $282.29 , $212.23 , $199.21 , $199.21 , $385.39 , $318.99 , $212.23 , $252.59 , $226.09 
2015-01-12,Monday,2,0,1,1,7,83,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,315,486,675,58,271,6600,10737,14642,1442,0,4,19,20,21,165.63008,0.38378176,431.5736114,27.6,35.4,0.07625,0.06,5.9,36, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $557.61 , $424.72 , $370.00 , $370.00 , $612.33 , $531.55 , $399.62 , $375.10 , $375.10 , $725.69 , $600.66 , $399.62 , $475.62 , $425.72 
2015-01-13,Tuesday,3,0,1,1,8,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,297,483,675,55,210,6568,10758,14418,1516,0,4,19,20,21,135.5927467,0.371533406,364.954388,25.6,32,0.014285714,0,5.666666667,36, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $575.99 , $438.72 , $382.20 , $382.20 , $632.51 , $549.08 , $412.79 , $387.47 , $387.47 , $749.61 , $620.46 , $412.79 , $491.30 , $439.75 
2015-01-14,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,281,483,654,55,103,6486,10770,14194,1581,0,4,19,20,21,150.234,0.416444037,360.754355,26,30,0.0275,0.05,6.5,35.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $513.87 , $391.41 , $340.98 , $340.98 , $564.30 , $489.86 , $368.28 , $345.68 , $345.68 , $668.77 , $553.54 , $368.28 , $438.32 , $392.33 
2015-01-15,Thursday,5,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,275,479,632,56,421,6731,10957,14251,1791,0,4,19,20,21,158.806163,0.457271884,347.2904602,25,29.4,0.12625,0.02,7,40.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $467.99 , $356.46 , $310.54 , $310.54 , $513.92 , $446.12 , $335.39 , $314.82 , $314.82 , $609.06 , $504.12 , $335.39 , $399.18 , $357.30 
2015-01-16,Friday,6,1,1,1,51,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,270,481,613,51,267,6821,10965,14055,1843,0,4,19,20,21,242.6127471,1.126848571,215.3019966,23,37.2,0.4175,4.36,10.25,31.16666667, $323.00 , $234.00 , $214.00 , $214.00 , $353.00 , $302.00 , $249.34 , $221.11 , $214.53 , $374.48 , $326.49 , $223.93 , $249.34 , $241.92 , $286.64 , $207.66 , $189.91 , $189.91 , $313.26 , $268.00 , $221.27 , $196.22 , $190.38 , $332.32 , $289.74 , $198.73 , $221.27 , $214.68 
2015-01-17,Saturday,7,1,1,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,269,480,614,56,204,6818,10859,13837,1799,0,4,19,20,21,207.8528192,1.469802484,141.4154769,25,36.4,0.385714286,0,9.666666667,55.5, $323.00 , $234.00 , $214.00 , $214.00 , $353.00 , $302.00 , $249.34 , $221.11 , $214.53 , $374.48 , $326.49 , $223.93 , $249.34 , $241.92 , $219.76 , $159.21 , $145.60 , $145.60 , $240.17 , $205.47 , $169.64 , $150.44 , $145.96 , $254.78 , $222.13 , $152.36 , $169.64 , $164.59 
2015-01-18,Sunday,1,0,1,1,75,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,262,479,613,50,363,6897,11031,13991,1748,0,4,19,20,21,226.9352571,1.192173126,190.3542801,28,35,1.08125,8.5,16.8,57, $323.00 , $234.00 , $214.00 , $214.00 , $353.00 , $302.00 , $249.34 , $221.11 , $214.53 , $374.48 , $326.49 , $223.93 , $249.34 , $241.92 , $270.93 , $196.28 , $179.50 , $179.50 , $296.10 , $253.32 , $209.15 , $185.47 , $179.94 , $314.11 , $273.86 , $187.84 , $209.15 , $202.92 
2015-01-19,Monday,2,0,1,1,10,80,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,mlk,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,255,479,616,50,299,7028,11150,14077,1774,0,4,19,20,21,157.2435333,0.281712143,558.1709465,28.8,38.8,0.5525,0,14,58, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $759.64 , $578.60 , $504.06 , $504.06 , $834.18 , $724.14 , $544.41 , $511.01 , $511.01 , $988.62 , $818.28 , $544.41 , $647.95 , $579.96 
2015-01-20,Tuesday,3,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,244,481,614,50,289,7197,11239,14129,1652,0,4,19,20,21,119.9421667,0.412361252,290.8667242,24.2,41.6,0.01625,0,11.75,56, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $518.96 , $395.28 , $344.36 , $344.36 , $569.89 , $494.71 , $371.92 , $349.11 , $349.11 , $675.39 , $559.03 , $371.92 , $442.66 , $396.21 
2015-01-21,Wednesday,4,0,1,1,28,62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,248,484,616,50,262,7281,11235,14202,1628,0,2,19,20,21,169.7888381,0.473603023,358.5045492,21,38,0,0,9.333333333,55, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $451.86 , $344.17 , $299.83 , $299.83 , $496.20 , $430.74 , $323.83 , $303.96 , $303.96 , $588.06 , $486.74 , $323.83 , $385.42 , $344.98 
2015-01-22,Thursday,5,0,1,1,15,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,255,485,622,51,191,7115,11066,14138,1456,0,2,19,20,21,137.518019,0.579755424,237.200056,23.6,34.8,0,0,9.166666667,53.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $369.12 , $281.15 , $244.93 , $244.93 , $405.34 , $351.87 , $264.54 , $248.31 , $248.31 , $480.39 , $397.62 , $264.54 , $314.85 , $281.81 
2015-01-23,Friday,6,1,1,1,59,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,261,482,627,51,181,7075,10841,14203,1547,0,2,19,20,21,177.1570833,1.32690502,133.5115028,28.6,40.4,0.214285714,0,10.75,51, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $189.16 , $137.91 , $122.84 , $122.84 , $212.52 , $181.63 , $129.76 , $122.67 , $122.67 , $231.87 , $195.71 , $129.76 , $151.75 , $141.02 
2015-01-24,Saturday,7,1,1,1,89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,261,474,624,53,248,7177,10679,14288,1682,1,3,19,20,21,177.6713156,1.469802484,120.8810827,34,44.4,0.196666667,0,9.6,35.83333333, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $170.77 , $124.51 , $110.90 , $110.90 , $191.86 , $163.97 , $117.15 , $110.75 , $110.75 , $209.33 , $176.68 , $117.15 , $136.99 , $127.31 
2015-01-25,Sunday,1,0,1,1,27,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,262,474,629,57,218,7133,10433,14322,1726,1,3,19,20,21,126.976441,0.653245548,194.377813,34.6,49.4,0.005,0,10.2,48.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $327.60 , $249.52 , $217.38 , $217.38 , $359.74 , $312.29 , $234.78 , $220.37 , $220.37 , $426.34 , $352.88 , $234.78 , $279.43 , $250.11 
2015-01-26,Monday,2,0,1,1,14,76,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,266,472,634,57,117,7128,10353,14248,1839,2,5,19,20,21,142.6434667,0.38378176,371.6785988,32.8,46.4,0,0,9.875,47.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $557.61 , $424.72 , $370.00 , $370.00 , $612.33 , $531.55 , $399.62 , $375.10 , $375.10 , $725.69 , $600.66 , $399.62 , $475.62 , $425.72 
2015-01-27,Tuesday,3,0,1,1,19,71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,266,464,635,58,248,7108,10221,14358,1867,0,5,19,20,21,156.9437867,0.396030114,396.2925577,33,45.6,0.014285714,0,7.333333333,47, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $540.36 , $411.58 , $358.56 , $358.56 , $593.39 , $515.11 , $387.26 , $363.50 , $363.50 , $703.25 , $582.08 , $387.26 , $460.91 , $412.55 
2015-01-28,Wednesday,4,0,1,1,13,77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,261,446,632,61,318,7107,10297,14487,1946,0,5,19,20,21,149.6634333,0.461354669,324.3999542,29,46.2,0,0,6.666666667,47, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $463.85 , $353.31 , $307.79 , $307.79 , $509.37 , $442.18 , $332.43 , $312.03 , $312.03 , $603.67 , $499.66 , $332.43 , $395.65 , $354.14 
2015-01-29,Thursday,5,0,1,1,17,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,260,429,631,68,342,7280,10454,14738,2105,0,5,19,20,21,157.9041889,0.371533406,425.006706,27.4,40.2,0.011111111,0,8.25,46, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $575.99 , $438.72 , $382.20 , $382.20 , $632.51 , $549.08 , $412.79 , $387.47 , $387.47 , $749.61 , $620.46 , $412.79 , $491.30 , $439.75 
2015-01-30,Friday,6,1,1,1,58,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,263,426,630,76,262,7477,10540,14766,1875,0,5,19,20,21,173.3725794,1.106434648,156.6948213,26.4,37.4,0.001111111,0.04,8.125,46, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $226.85 , $165.40 , $147.32 , $147.32 , $254.87 , $217.82 , $155.62 , $147.12 , $147.12 , $278.08 , $234.71 , $155.62 , $181.98 , $169.11 
2015-01-31,Saturday,7,1,1,1,72,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,258,416,627,79,255,7454,10618,14762,1789,2,7,19,20,21,185.4340495,1.392229575,133.1921493,26.2,38,0.016666667,0,7.75,46, $251.00 , $183.00 , $163.00 , $163.00 , $282.00 , $241.00 , $172.18 , $162.78 , $162.78 , $307.67 , $259.69 , $172.18 , $201.35 , $187.11 , $180.29 , $131.44 , $117.08 , $117.08 , $202.55 , $173.10 , $123.68 , $116.92 , $116.92 , $220.99 , $186.53 , $123.68 , $144.63 , $134.40 
2015-02-01,Sunday,1,0,2,1,13,77,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,261,410,621,74,260,7538,10671,14712,1833,0,7,19,20,21,163.8598133,0.416444037,393.4737894,29.8,36.8,0.126666667,0.366666667,10.33333333,48.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $513.87 , $391.41 , $340.98 , $340.98 , $564.30 , $489.86 , $368.28 , $345.68 , $345.68 , $668.77 , $553.54 , $368.28 , $438.32 , $392.33 
2015-02-02,Monday,2,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,256,403,620,79,414,7741,10801,14935,1688,0,7,19,20,21,146.53584,0.326622774,448.6393834,29,37.2,0.23625,0.14,7.625,51, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $655.19 , $499.05 , $434.75 , $434.75 , $719.48 , $624.57 , $469.55 , $440.75 , $440.75 , $852.69 , $705.77 , $469.55 , $558.85 , $500.22 
2015-02-03,Tuesday,3,0,2,1,11,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,256,394,618,81,361,7878,10994,15116,1506,0,7,19,20,21,151.68296,0.37561619,403.8243396,31.4,40.2,0.08875,0.1,7.75,49.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $569.73 , $433.95 , $378.05 , $378.05 , $625.64 , $543.11 , $408.31 , $383.26 , $383.26 , $741.47 , $613.71 , $408.31 , $485.96 , $434.97 
2015-02-04,Wednesday,4,0,2,1,9,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,260,386,623,81,170,7655,11044,15086,1465,0,6,19,20,21,209.158,0.379698975,550.8521586,30.2,37.8,0.135714286,0.066666667,7.5,53, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $563.60 , $429.29 , $373.98 , $373.98 , $618.91 , $537.27 , $403.92 , $379.14 , $379.14 , $733.49 , $607.11 , $403.92 , $480.74 , $430.29 
2015-02-05,Thursday,5,0,2,1,8,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,267,390,626,74,208,7629,11074,15028,1521,0,6,19,20,21,137.2538444,0.351119482,390.9035283,31.8,36.4,0.601428571,0.533333333,8.333333333,55.5, $214.00 , $163.00 , $142.00 , $142.00 , $235.00 , $204.00 , $153.37 , $143.96 , $143.96 , $278.51 , $230.52 , $153.37 , $182.53 , $163.38 , $609.48 , $464.23 , $404.42 , $404.42 , $669.29 , $581.00 , $436.79 , $410.00 , $410.00 , $793.20 , $656.53 , $436.79 , $519.86 , $465.32 
